한자,뜻,음
家,집,가
角,뿔,각
建,건국할,건
見,볼,견
季,계절,계
古,옛,고
故,연고,고
曲,굽을,곡
科,과목,과
光,빛,광
九,아홉,구
軍,군사,군
今,이제,금
金,쇠,금
己,몸,기
南,남녘,남
男,사내,남
內,안,내
年,해,년
能,능할,능
單,홑,단
同,한가지,동
東,동녘,동
樂,즐길,락
來,올,래
令,하여금,령
利,이로울,리
名,이름,명
毛,털,모
無,없을,무
民,백성,민
方,모,방
白,흰,백
百,일백,백
法,법,법
兵,병사,병
本,근본,본
不,아닐,불
北,북녘,북
分,나눌,분
事,일,사
史,사기,사
四,넉,사
士,선비,사
三,석,삼
上,윗,상
商,장사,상
色,빛,색
生,날,생
書,글,서
西,서녘,서
成,이룰,성
世,인간,세
小,작을,소
少,적을,소
市,저자,시
示,보일,시
食,먹을,식
臣,신하,신
失,잃을,실
十,열,십
言,말씀,언
業,업,업
五,다섯,오
午,낮,오
外,바깥,외
容,얼굴,용
用,쓸,용
元,으뜸,원
原,언덕,원
位,자리,위
有,있을,유
由,말미암을,유
六,여섯,육
肉,고기,육
音,소리,음
邑,고을,읍
二,두,이
因,인할,인
一,한,일
入,들,입
者,놈,자
全,온전,전
弟,아우,제
中,가운데,중
眞,참,진
次,버금,차
千,일천,천
初,처음,초
則,법칙,칙
七,일곱,칠
太,클,태
八,여덟,팔
表,겉,표
風,바람,풍
下,아래,하
合,합할,합
幸,다행,행
兄,형,형
回,돌아올,회
