한자,음,뜻
歌,노래,가
家,집,가
間,사이,간
車,수레,거
巾,수건,건
古,예,고
空,빌,공
敎,가르칠,교
校,학교,교
國,나라,국
軍,군사,군
今,이제,금
記,기록할,기
氣,기운,기
己,몸,기
農,농사,농
答,대답,답
代,대신할,대
大,큰,대
道,길,도
洞,골,동
登,오를,등
來,올,래
老,늙을,로
里,마을,리
林,수풀,림
馬,말,마
萬,일만,만
末,끝,말
每,매양,매
面,낯,면
問,물을,문
物,물건,물
民,백성,민
本,근본,본
不,아니,불
分,나눌,분
士,선비,사
事,일,사
色,빛,색
先,먼저,선
姓,성씨,성
世,세상,세
所,바,소
時,때,시
市,저자,시
食,먹을,식
植,심을,식
室,집,실
安,편안할,안
羊,양,양
語,말씀,어
午,낮,오
玉,구슬,옥
牛,소,우
右,오른,우
位,자리,위
有,있을,유
育,기를,육
邑,고을,읍
衣,옷,의
耳,귀,이
字,글자,자
長,긴,장
場,마당,장
電,번개,전
前,앞,전
全,온전할,전
祖,할아비,조
左,왼,좌
住,살,주
地,땅,지
草,풀,초
平,평평할,평
學,배울,학
韓,나라이름,한
漢,한수,한
合,합할,합
海,바다,해
孝,효도,효
休,쉴,휴
