한자,음,뜻
街,거리,가
假,거짓,가
佳,아름다울,가
干,방패,간
看,볼,간
減,덜,감 
甲,갑옷,갑
擧,들,거
巨,클,거
建,세울,건
乾,하늘,건
更,다시,갱
慶,경사,경 
競,다툴,경 
耕,밭갈,경
景,볕,경
經,지날,경 
庚,천간,경
溪,시내,계
癸,천간,계
故,연고,고
谷,골,곡
骨,뼈,골
官,벼슬,관
救,구원할,구
究,궁구할,구
句,글귀,구
舊,옛,구 
久,오랠,구
弓,활,궁
權,권세,권 
均,고를,균
禁,금할,금
及,미칠,급
其,그,기
起,일어날,기
乃,이에,내
怒,성낼,노
端,바를,단
丹,붉을,단
單,홑,단 
達,통달할,달 
徒,무리,도
獨,홀로,독
斗,말,두
得,얻을,득
燈,등잔,등
旅,나그네,려
連,이을,련 
練,익힐,련 
烈,뜨거울,렬
列,벌일,렬
論,논할,론 
陸,뭍,륙
倫,인륜,륜
律,법,률
滿,찰,만
忘,잊을,망
妙,묘할,묘
卯,토끼,묘
務,힘쓸,무
尾,꼬리,미
密,빽빽할,밀
飯,밥,반
防,막을,방
房,방,방
訪,찾을,방
拜,절,배
伐,칠,벌
變,변할,변
丙,남녘,병
保,지킬,보
復,돌아올,복
否,아닐,부
婦,지어미,부
佛,부처,불
悲,슬플,비
非,아닐,비
鼻,코,비
巳,뱀,사
謝,사례할,사
私,사사로울,사
絲,실,사
寺,절,사
舍,집,사
散,흩어질,산
想,생각,상
選,가릴,선
鮮,고울,선
舌,혀,설
聖,성스러울,성
盛,성할,성
聲,소리,성
細,가늘,세
勢,권세,세 
稅,세금,세 
笑,웃음,소
續,이을,속 
俗,풍속,속
松,소나무,송
收,거둘,수 
修,닦을,수
受,받을,수
授,줄,수
純,순수할,순 
戌,개,술
拾,주울,습
承,이을,승
是,옳을,시
辛,매울,신
申,지지,신
眼,눈,안
若,같을,약
與,더불,여
逆,거스를,역
硏,갈,연 
榮,영화,영 
藝,재주,예
誤,그릇될,오
往,갈,왕
浴,목욕할,욕
容,얼굴,용
遇,만날,
雄,수컷,웅
危,위태할,위
偉,클,위
爲,할,위
遺,남길,유
酉,닭,유
恩,은혜,은
乙,새,을
陰,그늘,음
應,응할,응
依,의지할,의
異,다를,이
移,옮길,이
益,더할,익
引,끌,인
印,도장,인
寅,범,인
認,알,인
壬,천간,임
將,장수,장 
適,맞을,적 
敵,원수,적 
節,마디,절
接,이을,접
停,머무를,정
井,우물,정
精,정기,정
政,정사,정
除,덜,제
祭,제사,제
製,지을,제 
兆,조,조
造,지을,조
尊,높을,존 
坐,앉을,좌
走,달릴,주
朱,붉을,주
衆,무리,중 
增,더할,증 
持,가질,지
指,손가락,지
辰,별,진
着,붙을,착
察,살필,찰
唱,부를,창
冊,책,책
處,곳,처 
聽,들을,청 
請,청할,청
最,가장,최
蟲,벌레,충
取,가질,취
治,다스릴,치
齒,이,치
則,법칙,칙
針,바늘,침
快,쾌할,쾌
脫,벗을,탈
探,찾을,탐
退,물러날,퇴
波,물결,파
判,판단할,판
片,조각,편
布,베,포
暴,사나울,포
筆,붓,필
限,한정,한
解,풀,해
鄕,시골,향
協,도울,협
惠,은혜,혜
呼,부를,호
戶,지게문,호
婚,혼인할,혼
貨,재화,화
興,일어날,흥
希,바랄,희
