한자,뜻,음
加,더할,가
間,사이,간
江,강,강
去,갈,거
決,결단할,결
京,서울,경
慶,경사,경
景,볕,경
競,다툴,경
經,글,경
界,지경,계
計,셀,계
告,고할,고
考,생각할,고
公,공평할,공
共,함께,공
過,지날,과
校,학교,교
求,구할,구
究,연구할,구
國,나라,국
君,임금,군
基,터,기
技,재주,기
氣,기운,기
記,기록할,기
農,농사,농
多,많을,다
答,대답,답
圖,그림,도
島,섬,도
度,법도,도
道,길,도
都,도읍,도
冬,겨울,동
童,아이,동
等,무리,등
例,법식,례
料,헤아릴,료
里,마을,리
林,수풀,림
每,매양,메
命,목숨,명
明,밝을,명
武,호반,무
聞,들을,문
物,물건,물
美,아름다울,미
牛,소,반
反,돌이킬,반
放,놓을,방
番,차례,번
病,병,병
保,지킬,보
步,걸음,보
服,옷,복
奉,받들,봉
比,견줄,비
非,아닐,비
師,스승,사
死,죽을,사
序,차례,서
先,먼저,선
線,줄,선
城,성,성
性,성품,성
所,바,소
消,사라질,소
素,본디,소
俗,풍속,속
習,익힐,습
始,비로소,시
時,때,시
詩,시,시
信,믿을,신
神,귀신,신
室,집,실
實,열매,실
安,편안,안
案,책상,안
野,들,야
約,맺을,약
藥,약,약
兩,두,량
洋,바다,양
養,기를,양
熱,더울,열
要,요긴할,요
友,벗,우
雲,구름,운
育,기를,육
銀,은,은
意,뜻,의
醫,의원,의
耳,귀,이
字,글자,자
作,지을,작
材,재목,재
財,재물,재
爭,다툴,쟁
典,법,전
前,앞,전
展,펼,전
戰,싸움,전
電,번개,전
定,정할,정
庭,뜰,정
情,뜻,정
政,정사,정
正,바를,정
帝,임금,제
朝,아침,조
祖,할아비,조
鳥,새,조
族,겨레,족
種,씨,종
住,살,주
注,부을,주
竹,대,죽
地,땅,지
指,가리킬,지
止,그칠,지
紙,종이,지
直,곧을,직
質,바탕,질
集,모을,집
靑,푸를,청
草,풀,초
村,마을,촌
秋,가을,추
山,뫼,산
充,채울,충
齒,이,치
便,편할,편
平,평평할,평
品,물건,품
必,반드시,필
夏,여름,하
學,배울,학
海,바다,해
香,향기,향
血,피,혈
形,모양,형
化,될,화
和,화할,화
花,꽃,화
話,말씀,화
畵,그림,화
活,살,활
後,뒤,후
